Epoch,Train_Acc,Test_Acc
0,74.64,76.6
1,82.9,83.85
2,86.42,83.25
3,88.06,88.3
4,89.73,86.25
5,91.55,88.65
6,92.14,91.55
7,93.15,91.75
8,94.62,89.85
9,95.38,88.4
10,95.95,86.4
11,96.78,91.85
12,97.62,91.45
13,97.93,91.55
14,98.3,92.45
15,98.51,90.75
16,98.64,91.7
17,98.27,92.9
18,99.05,91.75
19,99.16,92.9
20,99.18,93.05
21,99.29,91.8
22,98.97,91.75
23,99.54,92.4
24,99.37,92.25
25,99.4,92.8
26,99.52,91.95
27,99.23,91.15
28,99.37,91.95
29,99.57,91.95
30,99.9,93.2
31,100.0,93.4
32,100.0,93.4
33,100.0,93.55
34,100.0,93.6
35,100.0,93.7
36,100.0,93.8
37,100.0,93.4
38,100.0,93.6
39,100.0,93.7
40,100.0,93.95
41,99.99,91.3
42,99.02,93.75
43,99.97,93.6
44,100.0,93.9
45,100.0,93.6
46,100.0,93.6
47,100.0,93.15
48,100.0,93.4
49,100.0,93.55
50,100.0,93.45
51,100.0,93.45
52,100.0,93.85
53,100.0,93.85
54,100.0,93.8
55,100.0,93.85
56,100.0,93.85
57,100.0,93.85
58,100.0,93.75
59,100.0,93.75
60,100.0,93.85
61,100.0,93.75
62,100.0,93.8
63,100.0,93.4
64,99.81,92.6
65,99.87,93.0
66,100.0,93.35
67,100.0,93.35
68,100.0,93.05
69,99.99,93.0